dt=10s, T=1.0yr
Initializing waveform generators...
Initializing loglike_timeonly...
SNR: 14.0813
Loading precomputed LHS from /nfs/home/svu/e1498138/localgit/FEWNEW/work/search/precomputed_lhs_paris3_1yr_1e+05.pkl...
Best LHS seed: [6.01448138 1.00559399 0.73052065 8.82542789 0.39503829]  logden=2.6745
cov_prop = 0.01 * cov_prior (diag: [0.00092971 0.00052197 0.00191881 0.01102793 0.00039019])
Evaluating starting point with timeonly loglike...
Starting logden (timeonly): 3.9411

Running greedy hill-climb for 10000 iterations...
  iter=  7100  max_logden=8.605607  accepts=17  p_max=[6.0124339  1.00367805 0.72691343 8.84569115 0.39639999]  elapsed=4924s
  iter=  7200  max_logden=8.628540  accepts=18  p_max=[6.01326363 1.00395475 0.72867012 8.83550488 0.39614358]  elapsed=4993s
  iter=  7300  max_logden=8.628540  accepts=18  p_max=[6.01326363 1.00395475 0.72867012 8.83550488 0.39614358]  elapsed=5062s
  iter=  7400  max_logden=8.628540  accepts=18  p_max=[6.01326363 1.00395475 0.72867012 8.83550488 0.39614358]  elapsed=5132s
  iter=  7500  max_logden=8.646533  accepts=19  p_max=[6.01349529 1.00401685 0.72917502 8.83261407 0.39608052]  elapsed=5201s
  iter=  7600  max_logden=8.646533  accepts=19  p_max=[6.01349529 1.00401685 0.72917502 8.83261407 0.39608052]  elapsed=5270s
  iter=  7700  max_logden=8.704134  accepts=20  p_max=[6.01328107 1.00392307 0.72868937 8.83525679 0.39616186]  elapsed=5340s
  iter=  7800  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5409s
  iter=  7900  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5478s
  iter=  8000  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5548s
  iter=  8100  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5617s
  iter=  8200  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5686s
  iter=  8300  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5756s
  iter=  8400  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5825s
  iter=  8500  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5894s
  iter=  8600  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=5963s
  iter=  8700  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6033s
  iter=  8800  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6102s
  iter=  8900  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6171s
  iter=  9000  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6240s
  iter=  9100  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6310s
  iter=  9200  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6379s
  iter=  9300  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6448s
  iter=  9400  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6518s
  iter=  9500  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6587s
  iter=  9600  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6656s
  iter=  9700  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6726s
  iter=  9800  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6795s
  iter=  9900  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6864s
  iter= 10000  max_logden=8.864645  accepts=21  p_max=[6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]  elapsed=6934s

Done. 10000 iters in 6934s (1.4/s)
Total accepts: 21
Final max logden: 8.864645
Final p_max: [6.01297529 1.00373825 0.72811909 8.83860263 0.39631217]
Saved to /nfs/home/svu/e1498138/localgit/FEWNEW/work/search/greedy_timeonly_results.pkl
Job completed at Mon Apr 20 12:05:40 PM +08 2026
