dt=10s  T=0.25yr
Building waveform generators...
Initializing loglike...
SNR = 5.942134448355127
Resuming from checkpoint: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_205000.pkl
Resuming from sample 205000/500000
Evaluating 295000 remaining samples in 2950 batches of 100  (checkpoint every 10 batches)
  [226800/500000]  elapsed=6838s  rate=3.2/s  eta=85691s  finite=226800
  [226900/500000]  elapsed=6869s  rate=3.2/s  eta=85654s  finite=226900
  [227000/500000]  elapsed=6900s  rate=3.2/s  eta=85621s  finite=227000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_227000.pkl
  [227100/500000]  elapsed=6931s  rate=3.2/s  eta=85586s  finite=227100
  [227200/500000]  elapsed=6962s  rate=3.2/s  eta=85546s  finite=227200
  [227300/500000]  elapsed=6993s  rate=3.2/s  eta=85511s  finite=227300
  [227400/500000]  elapsed=7025s  rate=3.2/s  eta=85491s  finite=227400
  [227500/500000]  elapsed=7056s  rate=3.2/s  eta=85457s  finite=227500
  [227600/500000]  elapsed=7087s  rate=3.2/s  eta=85422s  finite=227600
  [227700/500000]  elapsed=7118s  rate=3.2/s  eta=85387s  finite=227700
  [227800/500000]  elapsed=7149s  rate=3.2/s  eta=85352s  finite=227800
  [227900/500000]  elapsed=7180s  rate=3.2/s  eta=85308s  finite=227900
  [228000/500000]  elapsed=7210s  rate=3.2/s  eta=85268s  finite=228000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_228000.pkl
  [228100/500000]  elapsed=7241s  rate=3.2/s  eta=85234s  finite=228100
  [228200/500000]  elapsed=7273s  rate=3.2/s  eta=85202s  finite=228200
  [228300/500000]  elapsed=7303s  rate=3.2/s  eta=85161s  finite=228300
  [228400/500000]  elapsed=7334s  rate=3.2/s  eta=85121s  finite=228400
  [228500/500000]  elapsed=7365s  rate=3.2/s  eta=85084s  finite=228500
  [228600/500000]  elapsed=7396s  rate=3.2/s  eta=85058s  finite=228600
  [228700/500000]  elapsed=7428s  rate=3.2/s  eta=85029s  finite=228700
  [228800/500000]  elapsed=7460s  rate=3.2/s  eta=85004s  finite=228800
  [228900/500000]  elapsed=7491s  rate=3.2/s  eta=84967s  finite=228900
  [229000/500000]  elapsed=7521s  rate=3.2/s  eta=84930s  finite=229000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_229000.pkl
  [229100/500000]  elapsed=7553s  rate=3.2/s  eta=84903s  finite=229100
  [229200/500000]  elapsed=7586s  rate=3.2/s  eta=84882s  finite=229200
  [229300/500000]  elapsed=7617s  rate=3.2/s  eta=84853s  finite=229300
  [229400/500000]  elapsed=7648s  rate=3.2/s  eta=84813s  finite=229400
  [229500/500000]  elapsed=7679s  rate=3.2/s  eta=84786s  finite=229500
  [229600/500000]  elapsed=7710s  rate=3.2/s  eta=84751s  finite=229600
  [229700/500000]  elapsed=7743s  rate=3.2/s  eta=84732s  finite=229700
  [229800/500000]  elapsed=7774s  rate=3.2/s  eta=84694s  finite=229800
  [229900/500000]  elapsed=7804s  rate=3.2/s  eta=84656s  finite=229900
  [230000/500000]  elapsed=7836s  rate=3.2/s  eta=84630s  finite=230000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_230000.pkl
  [230100/500000]  elapsed=7867s  rate=3.2/s  eta=84594s  finite=230100
  [230200/500000]  elapsed=7898s  rate=3.2/s  eta=84556s  finite=230200
  [230300/500000]  elapsed=7929s  rate=3.2/s  eta=84527s  finite=230300
  [230400/500000]  elapsed=7961s  rate=3.2/s  eta=84499s  finite=230400
  [230500/500000]  elapsed=7992s  rate=3.2/s  eta=84465s  finite=230500
  [230600/500000]  elapsed=8022s  rate=3.2/s  eta=84423s  finite=230600
  [230700/500000]  elapsed=8053s  rate=3.2/s  eta=84382s  finite=230700
  [230800/500000]  elapsed=8084s  rate=3.2/s  eta=84354s  finite=230800
  [230900/500000]  elapsed=8116s  rate=3.2/s  eta=84322s  finite=230900
  [231000/500000]  elapsed=8148s  rate=3.2/s  eta=84301s  finite=231000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_231000.pkl
  [231100/500000]  elapsed=8179s  rate=3.2/s  eta=84269s  finite=231100
  [231200/500000]  elapsed=8212s  rate=3.2/s  eta=84251s  finite=231200
  [231300/500000]  elapsed=8243s  rate=3.2/s  eta=84212s  finite=231300
  [231400/500000]  elapsed=8275s  rate=3.2/s  eta=84190s  finite=231400
  [231500/500000]  elapsed=8307s  rate=3.2/s  eta=84166s  finite=231500
  [231600/500000]  elapsed=8339s  rate=3.2/s  eta=84142s  finite=231600
  [231700/500000]  elapsed=8371s  rate=3.2/s  eta=84118s  finite=231700
  [231800/500000]  elapsed=8402s  rate=3.2/s  eta=84082s  finite=231800
  [231900/500000]  elapsed=8434s  rate=3.2/s  eta=84055s  finite=231900
  [232000/500000]  elapsed=8464s  rate=3.2/s  eta=84010s  finite=232000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_232000.pkl
  [232100/500000]  elapsed=8495s  rate=3.2/s  eta=83983s  finite=232100
  [232200/500000]  elapsed=8526s  rate=3.2/s  eta=83946s  finite=232200
  [232300/500000]  elapsed=8558s  rate=3.2/s  eta=83923s  finite=232300
  [232400/500000]  elapsed=8589s  rate=3.2/s  eta=83883s  finite=232400
  [232500/500000]  elapsed=8622s  rate=3.2/s  eta=83866s  finite=232500
  [232600/500000]  elapsed=8654s  rate=3.2/s  eta=83844s  finite=232600
  [232700/500000]  elapsed=8685s  rate=3.2/s  eta=83809s  finite=232700
  [232800/500000]  elapsed=8716s  rate=3.2/s  eta=83769s  finite=232800
  [232900/500000]  elapsed=8748s  rate=3.2/s  eta=83745s  finite=232900
  [233000/500000]  elapsed=8779s  rate=3.2/s  eta=83713s  finite=233000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_233000.pkl
  [233100/500000]  elapsed=8811s  rate=3.2/s  eta=83686s  finite=233100
  [233200/500000]  elapsed=8843s  rate=3.2/s  eta=83661s  finite=233200
